Timestamp (EST),baseline.out.electricity.ceiling_fan.energy_consumption.kwh,baseline.out.electricity.clothes_dryer.energy_consumption.kwh,baseline.out.electricity.clothes_washer.energy_consumption.kwh,baseline.out.electricity.cooling_fans-pumps.energy_consumption.kwh,baseline.out.electricity.cooling.energy_consumption.kwh,baseline.out.electricity.dishwasher.energy_consumption.kwh,baseline.out.electricity.freezer.energy_consumption.kwh,baseline.out.electricity.heating_fans-pumps.energy_consumption.kwh,baseline.out.electricity.heating_hp-bkup.energy_consumption.kwh,baseline.out.electricity.heating.energy_consumption.kwh,baseline.out.electricity.hot_tub-heater.energy_consumption.kwh,baseline.out.electricity.hot_tub-pump.energy_consumption.kwh,baseline.out.electricity.hot_water.energy_consumption.kwh,baseline.out.electricity.lighting_exterior.energy_consumption.kwh,baseline.out.electricity.lighting_garage.energy_consumption.kwh,baseline.out.electricity.lighting_interior.energy_consumption.kwh,baseline.out.electricity.mech_vent.energy_consumption.kwh,baseline.out.electricity.plug_loads.energy_consumption.kwh,baseline.out.electricity.pool_heater.energy_consumption.kwh,baseline.out.electricity.pool_pump.energy_consumption.kwh,baseline.out.electricity.range_oven.energy_consumption.kwh,baseline.out.electricity.refrigerator.energy_consumption.kwh,baseline.out.electricity.well_pump.energy_consumption.kwh,whole_home_electrification_high_efficiency.out.electricity.ceiling_fan.energy_consumption.kwh,whole_home_electrification_high_efficiency.out.electricity.clothes_dryer.energy_consumption.kwh,whole_home_electrification_high_efficiency.out.electricity.clothes_washer.energy_consumption.kwh,whole_home_electrification_high_efficiency.out.electricity.cooling_fans-pumps.energy_consumption.kwh,whole_home_electrification_high_efficiency.out.electricity.cooling.energy_consumption.kwh,whole_home_electrification_high_efficiency.out.electricity.dishwasher.energy_consumption.kwh,whole_home_electrification_high_efficiency.out.electricity.freezer.energy_consumption.kwh,whole_home_electrification_high_efficiency.out.electricity.heating_fans-pumps.energy_consumption.kwh,whole_home_electrification_high_efficiency.out.electricity.heating_hp-bkup.energy_consumption.kwh,whole_home_electrification_high_efficiency.out.electricity.heating.energy_consumption.kwh,whole_home_electrification_high_efficiency.out.electricity.hot_tub-heater.energy_consumption.kwh,whole_home_electrification_high_efficiency.out.electricity.hot_tub-pump.energy_consumption.kwh,whole_home_electrification_high_efficiency.out.electricity.hot_water.energy_consumption.kwh,whole_home_electrification_high_efficiency.out.electricity.lighting_exterior.energy_consumption.kwh,whole_home_electrification_high_efficiency.out.electricity.lighting_garage.energy_consumption.kwh,whole_home_electrification_high_efficiency.out.electricity.lighting_interior.energy_consumption.kwh,whole_home_electrification_high_efficiency.out.electricity.mech_vent.energy_consumption.kwh,whole_home_electrification_high_efficiency.out.electricity.plug_loads.energy_consumption.kwh,whole_home_electrification_high_efficiency.out.electricity.pool_heater.energy_consumption.kwh,whole_home_electrification_high_efficiency.out.electricity.pool_pump.energy_consumption.kwh,whole_home_electrification_high_efficiency.out.electricity.range_oven.energy_consumption.kwh,whole_home_electrification_high_efficiency.out.electricity.refrigerator.energy_consumption.kwh,whole_home_electrification_high_efficiency.out.electricity.well_pump.energy_consumption.kwh,savings.out.electricity.ceiling_fan.energy_consumption.kwh,savings.out.electricity.clothes_dryer.energy_consumption.kwh,savings.out.electricity.clothes_washer.energy_consumption.kwh,savings.out.electricity.cooling_fans-pumps.energy_consumption.kwh,savings.out.electricity.cooling.energy_consumption.kwh,savings.out.electricity.dishwasher.energy_consumption.kwh,savings.out.electricity.freezer.energy_consumption.kwh,savings.out.electricity.heating_fans-pumps.energy_consumption.kwh,savings.out.electricity.heating_hp-bkup.energy_consumption.kwh,savings.out.electricity.heating.energy_consumption.kwh,savings.out.electricity.hot_tub-heater.energy_consumption.kwh,savings.out.electricity.hot_tub-pump.energy_consumption.kwh,savings.out.electricity.hot_water.energy_consumption.kwh,savings.out.electricity.lighting_exterior.energy_consumption.kwh,savings.out.electricity.lighting_garage.energy_consumption.kwh,savings.out.electricity.lighting_interior.energy_consumption.kwh,savings.out.electricity.mech_vent.energy_consumption.kwh,savings.out.electricity.plug_loads.energy_consumption.kwh,savings.out.electricity.pool_heater.energy_consumption.kwh,savings.out.electricity.pool_pump.energy_consumption.kwh,savings.out.electricity.range_oven.energy_consumption.kwh,savings.out.electricity.refrigerator.energy_consumption.kwh,savings.out.electricity.well_pump.energy_consumption.kwh
2018-01-01,2283853.319871343,10362950.9279848,838923.9106088433,2070682.1447904566,11115600.411054613,1723922.931629559,1489493.1378931766,4200628.276256036,280447.27696731273,53208899.00631534,1267781.5177311355,2934480.6585988,12724419.343986025,3218251.425847058,469493.0022022972,32992706.660970986,797754.8587768994,93409420.24986425,324169.84245952725,10265776.730777962,5684367.170631687,18974957.103327077,1937650.5237778497,2283853.319871345,9940436.669133935,841755.1485406633,321920.44535130315,6009537.982697824,1728226.8103807867,1489493.1378931766,3422368.838099957,4488277.013803905,58436892.075144224,1267781.5177311352,2934480.6585988016,26313601.85172559,3218251.425847025,469493.0022022961,32992706.660970967,797754.8587768985,93409420.24986434,324169.84245952725,10265776.73077797,14763247.45913514,18974957.103327066,1937650.5237778488,-1.862645149230957e-9,422514.25885086507,-2831.237931819982,1748761.6994391535,5106062.428356789,-4303.878751227632,0,778259.438156079,-4207829.736836592,-5227993.068828881,2.3283064365386963e-10,-1.3969838619232178e-9,-13589182.507739564,3.306195139884949e-8,1.1059455573558807e-9,1.862645149230957e-8,9.313225746154785e-10,-8.940696716308594e-8,0,-7.450580596923828e-9,-9078880.288503453,1.1175870895385742e-8,9.313225746154785e-10
2018-01-02,2283761.5522175226,10175884.865909938,804745.4232453,2899560.0396812535,13348965.298545765,1744564.842595573,1489493.1378931769,3918716.348792745,192029.74783577092,49308932.79888609,1267781.517731136,2934480.658598802,12791317.96362346,3218251.4258470577,469493.0022022972,33324149.876921766,797754.8587768998,93393790.45086148,324169.84245952714,10265776.730777966,5636214.818261627,18974957.103327088,1937650.5237778495,2283761.5522175245,9788280.572212065,807288.5252719744,448639.71086213057,8427843.748364646,1751025.1401461493,1489493.1378931764,2982574.8995258156,3629775.3580299835,52346995.40981157,1267781.5177311355,2934480.658598802,28967893.82927871,3218251.425847025,469493.00220229605,33324149.876921713,797754.8587768987,93393790.45086159,324169.84245952725,10265776.73077797,14588556.95525178,18974957.10332705,1937650.523777849,-1.862645149230957e-9,387604.29369787313,-2543.102026674431,2450920.328819123,4921121.550181119,-6460.297550576273,4.656612873077393e-10,936141.4492669292,-3437745.6101942128,-3038062.6109254807,4.656612873077393e-10,0,-16176575.86565525,3.259629011154175e-8,1.1641532182693481e-9,5.21540641784668e-8,1.0477378964424133e-9,-1.043081283569336e-7,-1.1641532182693481e-10,-3.725290298461914e-9,-8952342.136990152,3.725290298461914e-8,4.656612873077393e-10
2018-01-03,2284868.5752077117,9933431.81893573,795391.902223645,1706472.7916733099,7910716.796290186,1740608.6639786214,1489493.137893177,3988689.3058987707,155010.3372998982,49396822.48240984,1267781.5177311355,2934480.6585988016,12502620.556659494,3218251.4258470577,469493.00220229727,33320446.240950983,797754.8587769,93378397.69812039,324169.8424595272,10265776.730777964,5632255.976203535,18974957.103327077,1937650.5237778493,2284868.5752077107,9541235.26845048,798078.1036788416,215340.91108609288,4270491.063751297,1746573.8036081702,1489493.137893177,2831865.293273967,3212439.0708862958,49951548.506663226,1267781.5177311352,2934480.6585988025,28588466.05774964,3218251.4258470247,469493.0022022961,33320446.24095095,797754.8587768988,93378397.69812058,324169.8424595273,10265776.73077797,14668135.491763707,18974957.103327062,1937650.5237778488,9.313225746154785e-10,392196.5504852496,-2686.2014551965985,1491131.880587217,3640225.732538889,-5965.139629548881,0,1156824.0126248035,-3057428.7335863975,-554726.0242533833,2.3283064365386963e-10,-9.313225746154785e-10,-16085845.501090147,3.306195139884949e-8,1.1641532182693481e-9,3.3527612686157227e-8,1.1641532182693481e-9,-1.9371509552001953e-7,-1.1641532182693481e-10,-5.587935447692871e-9,-9035879.515560172,1.4901161193847656e-8,4.656612873077393e-10
2018-01-04,2285478.2610977544,9705193.557325719,793740.8108478582,3630187.465013648,15147578.383671755,1700875.4490521015,1489493.1378931769,3160421.8232910885,91700.82566412362,38007193.44540316,1267781.5177311355,2934480.6585988,12463803.323354112,3218251.4258470577,469493.00220229715,33338107.76128136,797754.8587768998,93405641.31114858,324169.84245952714,10265776.730777962,5634767.601198556,18974957.103327073,1937650.5237778493,2285478.2610977585,9420224.72582673,796148.8037694307,575755.1027097838,10892388.789269991,1706397.0046663345,1489493.1378931766,2245492.987787095,2032611.6435283443,39200646.79550179,1267781.517731135,2934480.658598802,28263129.870201804,3218251.425847025,469493.00220229605,33338107.761281315,797754.8587768987,93405641.31114869,324169.8424595273,10265776.73077797,14525048.169792527,18974957.103327055,1937650.5237778488,-4.190951585769653e-9,284968.83149898984,-2407.992921572528,3054432.362303864,4255189.594401764,-5521.555614233017,2.3283064365386963e-10,914928.8355039936,-1940910.8178642208,-1193453.3500986323,4.656612873077393e-10,-1.862645149230957e-9,-15799326.546847692,3.259629011154175e-8,1.1059455573558807e-9,4.470348358154297e-8,1.0477378964424133e-9,-1.043081283569336e-7,-1.7462298274040222e-10,-7.450580596923828e-9,-8890280.568593971,1.862645149230957e-8,4.656612873077393e-10
2018-01-05,2283006.8298508464,9988487.326478645,798596.7483081031,3783101.189874343,15476050.409965426,1679002.7861483963,1489493.1378931764,2504348.473825507,8270.711132738183,29437964.07182477,1267781.517731136,2934480.658598802,12486565.091336546,3218251.4258470577,469493.0022022972,33274880.574189935,797754.8587768996,93361260.14930171,324169.84245952714,10265776.730777966,5613741.912577372,18974957.10332709,1937650.5237778495,2283006.8298508544,9626214.05293927,801046.6298948778,585534.2900518172,10991024.731400644,1684433.7847638684,1489493.1378931766,1738114.2302854296,236900.01432831283,31005784.17102475,1267781.5177311352,2934480.658598803,27874302.814889602,3218251.4258470256,469493.0022022961,33274880.574189905,797754.8587768987,93361260.14930187,324169.84245952725,10265776.730777968,14578006.09637218,18974957.10332705,1937650.5237778486,-7.916241884231567e-9,362273.2735393755,-2449.881586774718,3197566.8998225257,4485025.678564781,-5430.998615472112,-2.3283064365386963e-10,766234.2435400772,-228629.30319557464,-1567820.0991999805,6.984919309616089e-10,-9.313225746154785e-10,-15387737.723553056,3.213062882423401e-8,1.1059455573558807e-9,2.9802322387695312e-8,9.313225746154785e-10,-1.6391277313232422e-7,-1.1641532182693481e-10,-1.862645149230957e-9,-8964264.183794808,4.0978193283081055e-8,9.313225746154785e-10
2018-01-06,2311011.7027828568,11140163.875903895,892026.3894030997,2711769.521616308,11241997.64231947,1601541.201080738,1489493.1378931764,2858707.695213898,131138.88288612908,32412259.301370386,1267781.5177311355,2934480.6585988025,12668581.02687896,3218251.425847058,469493.00220229715,36230481.11037309,797754.8587768998,95610500.11451063,324169.8424595271,10265776.730777968,5474608.105782,18974957.10332709,1937650.5237778493,2311011.7027828605,10682862.654454494,894957.3853121635,380056.8279001708,7341774.533885957,1604740.9624139294,1489493.1378931766,2038540.2213749029,2631192.4368078937,35040682.72791628,1267781.517731135,2934480.658598803,27745769.26170045,3218251.425847026,469493.0022022961,36230481.11037313,797754.8587768986,95610500.11451066,324169.84245952725,10265776.73077797,14141012.160829227,18974957.10332706,1937650.5237778486,-3.725290298461914e-9,457301.22144940123,-2930.995909063844,2331712.693716137,3900223.108433514,-3199.7613331913017,-2.3283064365386963e-10,820167.4738389952,-2500053.5539217647,-2628423.426545892,4.656612873077393e-10,-4.656612873077393e-10,-15077188.234821491,3.213062882423401e-8,1.0477378964424133e-9,-4.470348358154297e-8,1.1641532182693481e-9,-2.9802322387695312e-8,-1.7462298274040222e-10,-1.862645149230957e-9,-8666404.055047227,3.3527612686157227e-8,6.984919309616089e-10
2018-01-07,2335951.923486791,11158599.004819904,893105.0830648001,3347114.035082295,15003484.038818205,1546550.5846492343,1489493.137893177,4673126.608588207,362427.5109944872,54584141.41519787,1267781.5177311348,2934480.658598801,12593173.681323279,3218251.4258470587,469493.0022022972,36651459.77434122,797754.8587768995,95955898.55138008,324169.8424595271,10265776.730777966,5381676.043918159,18974957.103327096,1937650.5237778497,2335951.923486792,10754305.831069814,896072.3986257728,488412.63527474704,9286441.045888606,1550129.523148356,1489493.1378931769,3421554.067242126,6653674.999628974,57640074.26338655,1267781.5177311352,2934480.658598803,28267266.67855424,3218251.425847025,469493.00220229616,36651459.77434123,797754.8587768987,95955898.55138008,324169.84245952725,10265776.73077797,13984419.497361142,18974957.103327055,1937650.5237778488,-9.313225746154785e-10,404293.1737500895,-2967.3155609726673,2858701.399807548,5717042.992929598,-3578.938499121694,2.3283064365386963e-10,1251572.5413460806,-6291247.488634487,-3055932.848188676,-4.656612873077393e-10,-1.862645149230957e-9,-15674092.997230962,3.3527612686157227e-8,1.0477378964424133e-9,-1.4901161193847656e-8,8.149072527885437e-10,0,-1.7462298274040222e-10,-3.725290298461914e-9,-8602743.453442983,4.0978193283081055e-8,9.313225746154785e-10
2018-01-08,2310005.8905560067,9898748.972672677,803684.8894095538,1424320.912376399,6182188.532798775,1710280.5439794655,1489493.1378931769,4150628.4642588603,128600.1392176836,49448698.5676246,1267781.5177311357,2934480.658598802,12666273.03406565,3218251.4258470573,469493.0022022972,33799665.645934455,797754.8587768996,93756156.4605789,324169.8424595271,10265776.730777966,5707419.253698386,18974957.10332709,1937650.5237778495,2310005.890556011,9627594.683973845,806219.2747197704,172157.08709719576,3343886.912944667,1714056.5771229488,1489493.1378931766,2815986.8257213347,2836249.317390416,48637601.56365236,1267781.5177311352,2934480.6585988025,28548861.898652866,3218251.425847026,469493.00220229616,33799665.64593448,797754.8587768986,93756156.46057898,324169.8424595272,10265776.73077797,14599483.359332103,18974957.10332705,1937650.5237778486,-4.190951585769653e-9,271154.2886988316,-2534.385310216574,1252163.8252792032,2838301.6198541075,-3776.033143483335,2.3283064365386963e-10,1334641.6385375257,-2707649.1781727322,811097.0039722398,4.656612873077393e-10,-4.656612873077393e-10,-15882588.864587216,3.119930624961853e-8,1.0477378964424133e-9,-2.2351741790771484e-8,1.0477378964424133e-9,-7.450580596923828e-8,-1.1641532182693481e-10,-3.725290298461914e-9,-8892064.105633717,4.0978193283081055e-8,9.313225746154785e-10
2018-01-09,2284327.4123942656,9884846.052052889,796053.1620194031,910926.4098635558,3747400.9090957497,1730602.1156156417,1489493.137893177,4212059.523497873,166929.96279443632,49819586.37833475,1267781.5177311357,2934480.658598801,12538463.936866544,3218251.4258470577,469493.0022022972,33317310.402205177,797754.8587768999,93414892.41075183,324169.842459527,10265776.73077797,5680020.43469121,18974957.10332708,1937650.523777849,2284327.412394268,9526523.872379195,798654.6176201454,113988.74325465973,2125935.4733707714,1735120.2803131326,1489493.1378931776,2897526.865567395,3699600.3730872385,50047875.48745651,1267781.5177311348,2934480.6585988016,28145316.909732167,3218251.425847025,469493.00220229616,33317310.402205147,797754.8587768985,93414892.41075194,324169.84245952725,10265776.73077797,14716401.64570975,18974957.103327062,1937650.5237778483,-2.3283064365386963e-9,358322.1796736941,-2601.455600742367,796937.6666088961,1621465.4357249783,-4518.164697490865,-4.656612873077393e-10,1314532.657930478,-3532670.4102928024,-228289.10912175477,9.313225746154785e-10,-4.656612873077393e-10,-15606852.972865622,3.259629011154175e-8,1.0477378964424133e-9,2.9802322387695312e-8,1.3969838619232178e-9,-1.043081283569336e-7,-2.3283064365386963e-10,0,-9036381.21101854,1.862645149230957e-8,6.984919309616089e-10
2018-01-10,2283146.2973141796,9802931.919792192,804278.1103907361,1628006.3629028355,7962965.279002455,1713162.6294239594,1489493.137893177,5141560.045478693,397427.3067532018,60679273.92154987,1267781.5177311355,2934480.6585988016,12576892.792027507,3218251.4258470577,469493.00220229727,33324356.8989376,797754.8587769,93394452.43705033,324169.8424595272,10265776.730777964,5638009.493327961,18974957.103327077,1937650.5237778493,2283146.297314184,9544226.55498171,806374.480698929,256009.7202457925,4519136.369244987,1717691.4478860104,1489493.1378931764,3609821.825533147,7557711.329394359,61817018.49463237,1267781.5177311352,2934480.658598801,28513163.79705349,3218251.4258470247,469493.00220229605,33324356.898937643,797754.8587768987,93394452.43705043,324169.8424595272,10265776.730777971,14709403.57517992,18974957.10332705,1937650.5237778488,-4.190951585769653e-9,258705.36481048167,-2096.3703081929125,1371996.642657043,3443828.909757468,-4528.8184620509855,6.984919309616089e-10,1531738.2199455462,-7160284.022641158,-1137744.5730824992,2.3283064365386963e-10,4.656612873077393e-10,-15936271.005025983,3.306195139884949e-8,1.2223608791828156e-9,-4.0978193283081055e-8,1.280568540096283e-9,-1.043081283569336e-7,0,-7.450580596923828e-9,-9071394.08185196,2.60770320892334e-8,4.656612873077393e-10
